epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56265,3.29788,3.24799,2.62945,0.02,0.29268,0.01657,0.00393,3.22449,3.05478,2.95674,0.09307,7e-05,7e-05
2,4.30048,2.62034,2.8044,2.11948,0.035,0.5122,0.08557,0.02225,2.57597,2.8041,2.11696,0.0851496,0.000149588,0.000149588
3,5.00015,2.13253,2.20121,1.72886,0.04315,0.3905,0.11481,0.03397,2.33895,2.59329,1.94493,0.0772287,0.000228735,0.000228735
4,5.68888,2.01759,2.03155,1.58986,0.06167,0.90244,0.35182,0.10601,2.09849,2.46106,1.78882,0.0693074,0.000307443,0.000307443
5,6.36066,2.14006,1.84801,1.62334,0.06148,0.82927,0.46593,0.17031,2.17461,2.24516,1.84616,0.0613857,0.00038571,0.00038571
6,7.04665,1.76266,1.83684,1.52646,0.38073,0.70732,0.44067,0.13819,2.36853,2.20452,2.0667,0.0534635,0.000463538,0.000463538
7,7.74468,1.76462,1.7505,1.57014,0.3285,0.19512,0.3224,0.10333,2.24681,2.28468,2.06488,0.0455409,0.000540925,0.000540925
8,8.4243,1.87053,1.74331,1.57678,0.36076,0.26829,0.30553,0.09755,2.11157,2.30786,1.91273,0.0376179,0.000617873,0.000617873
9,9.13354,2.18099,1.77025,1.61886,0.39725,0.21951,0.36269,0.1188,2.25138,2.35932,2.03241,0.0296944,0.00069438,0.00069438
10,9.79696,1.85483,1.67266,1.52935,0.38747,0.31707,0.37058,0.13622,2.34652,2.27362,2.13799,0.0217704,0.000770448,0.000770448
11,10.6285,2.05954,1.7186,1.49987,0.50732,0.39024,0.45257,0.1497,2.43325,2.05601,2.20494,0.0138461,0.000846075,0.000846075
12,11.307,1.80098,1.61314,1.54557,0.47115,0.5122,0.47714,0.13957,2.60839,1.90803,2.35261,0.00592126,0.000921263,0.000921263
13,11.9633,1.69585,1.46559,1.45998,0.40183,0.46341,0.37418,0.10835,2.75857,1.908,2.45677,0.000967,0.000967,0.000967
14,12.6061,1.84767,1.54472,1.58336,0.49483,0.52574,0.43121,0.13618,2.73684,1.7244,2.36348,0.00096425,0.00096425,0.00096425
15,13.2473,1.68376,1.4592,1.4595,0.49753,0.56098,0.48535,0.15494,2.61255,1.66327,2.23891,0.0009615,0.0009615,0.0009615
16,13.8832,1.89189,1.83499,1.65143,0.38342,0.4878,0.4182,0.12291,2.61046,1.80281,2.28247,0.00095875,0.00095875,0.00095875
17,14.5227,1.73949,1.41529,1.47888,0.54235,0.34701,0.40449,0.10966,2.61026,2.02115,2.3122,0.000956,0.000956,0.000956
