epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84363,3.07732,3.21522,2.60587,0.01667,0.2439,0.01226,0.00293,3.56718,3.25121,3.31541,0.09703,3e-05,3e-05
2,4.31935,3.07811,3.22321,2.559,0.01667,0.2439,0.05504,0.02269,3.3427,3.00495,2.78139,0.09307,6.99829e-05,6.99829e-05
3,4.84492,2.3018,2.8175,1.87859,0.05833,0.85366,0.26918,0.10479,1.91826,2.56207,1.64679,0.0891099,0.000109893,0.000109893
4,5.36372,1.92009,2.0778,1.4778,0.30676,0.63415,0.42506,0.18204,1.74309,2.32071,1.64081,0.0851497,0.00014967,0.00014967
5,5.85393,1.66005,1.81838,1.37928,0.20427,0.63866,0.37799,0.17584,1.61534,2.29752,1.62507,0.0811893,0.000189258,0.000189258
6,6.32834,1.6186,1.73584,1.41145,0.055,0.80488,0.41782,0.21399,1.5582,2.24771,1.61252,0.0772286,0.000228598,0.000228598
7,6.82363,1.54765,1.65745,1.39628,0.055,0.80488,0.53607,0.34228,1.37955,2.19747,1.56406,0.0732676,0.000267633,0.000267633
8,7.31542,1.5083,1.47696,1.37128,0.06333,0.92683,0.57873,0.35816,1.30717,2.19726,1.53698,0.0693063,0.000306304,0.000306304
9,7.82579,1.58328,1.46506,1.39059,0.06167,0.90244,0.58096,0.31885,1.47758,2.26593,1.59544,0.0653446,0.000344557,0.000344557
10,8.31046,1.53783,1.37185,1.40611,0.24556,0.80488,0.55789,0.30885,1.49885,2.18101,1.59085,0.0613823,0.000382335,0.000382335
11,8.79691,1.48442,1.28152,1.3717,0.71035,0.5122,0.5907,0.37924,1.35492,1.97737,1.51567,0.0574196,0.000419582,0.000419582
12,9.3012,1.56017,1.24586,1.38316,0.6564,0.56098,0.55997,0.33618,1.35023,1.9743,1.49817,0.0534562,0.000456246,0.000456246
13,9.7808,1.47387,1.1569,1.32742,0.52487,0.4878,0.49394,0.31959,1.32339,1.98762,1.49651,0.0494923,0.000492272,0.000492272
14,10.273,1.48277,1.10834,1.31595,0.61157,0.63415,0.56159,0.35412,1.33842,1.84475,1.50013,0.0455276,0.000527609,0.000527609
15,10.7603,1.41133,1.09733,1.32467,0.77715,0.78049,0.79376,0.48981,1.38139,1.54806,1.47669,0.0415622,0.000562205,0.000562205
16,11.2445,1.42205,1.06864,1.23216,0.89598,0.7561,0.84508,0.52351,1.43343,1.41991,1.53596,0.037596,0.00059601,0.00059601
17,11.7341,1.41409,1.01259,1.26011,0.88636,0.80488,0.84449,0.51302,1.45396,1.35362,1.57899,0.033629,0.000628977,0.000628977
18,12.2109,1.41462,1.0461,1.26156,0.76446,0.71256,0.76426,0.4652,1.33392,1.40576,1.5331,0.0296611,0.000661058,0.000661058
